id;login_id;deposit_no;deposit_by;deposit_date;medium;amount;note;is_posted;post_date;created_by;created_on;modified_by;modified_on
1;violet Technician Sports;90666;Officer Borders;2020-07-28;ATM;75619;../fake-data/blob/hipster.txt;true;2020-07-29T03:50:42;Object-based protocol;2020-07-29T09:09:27;Personal Loan Account;2020-07-29T01:18:39
2;programming;23337;bandwidth Bacon;2020-07-28;ATM;52494;../fake-data/blob/hipster.txt;true;2020-07-29T04:08:39;Practical Wooden Car;2020-07-29T00:25:58;initiatives Generic Facilitator;2020-07-28T20:28:55
3;sensor Vision-oriented Personal Loan Account;28788;Liaison Sleek Books;2020-07-29;ATM;98665;../fake-data/blob/hipster.txt;false;2020-07-29T07:21:47;invoice;2020-07-28T17:31:47;Maine Small Designer;2020-07-29T11:53:29
4;bypassing auxiliary;38230;pink Kyat;2020-07-29;CASH;97388;../fake-data/blob/hipster.txt;false;2020-07-29T13:36:18;Ergonomic;2020-07-28T23:45:28;Sports Compatible;2020-07-29T05:16:19
5;HTTP Beauty;19054;Kazakhstan Shoes;2020-07-29;CASH;13069;../fake-data/blob/hipster.txt;true;2020-07-29T07:51:54;Metal Planner Developer;2020-07-29T06:48:26;user-facing Applications maroon;2020-07-28T14:21:55
6;Future Streamlined program;13857;Walk collaboration;2020-07-29;BANK;48740;../fake-data/blob/hipster.txt;true;2020-07-29T06:36:23;Fantastic leverage;2020-07-28T14:25:36;International Causeway;2020-07-28T23:17:19
7;Frozen;49921;parsing navigate partnerships;2020-07-29;BANK;48259;../fake-data/blob/hipster.txt;true;2020-07-28T15:32:15;Massachusetts Stream mission-critical;2020-07-29T12:49:08;Functionality Orchestrator yellow;2020-07-28T17:57:45
8;Poland matrix;94296;brand;2020-07-29;BANK;39617;../fake-data/blob/hipster.txt;false;2020-07-28T18:30:39;bypassing Handcrafted Fresh Bacon Cheese;2020-07-28T14:47:27;Computers Steel;2020-07-28T19:49:08
9;compressing;66844;Pre-emptive;2020-07-29;ATM;15457;../fake-data/blob/hipster.txt;false;2020-07-29T09:22:43;TCP Liaison Small;2020-07-29T07:36:47;Albania zero administration;2020-07-29T03:07:23
10;Small Concrete Shoes mobile;47347;Vista deposit;2020-07-28;BANK;47297;../fake-data/blob/hipster.txt;false;2020-07-28T17:21:37;back up invoice RAM;2020-07-29T05:09:36;Practical calculate CFA Franc BEAC;2020-07-29T12:47:18
